========Trial 0 params: {'n_layers': 2, 'K': 3, 'Dropout': 0.3, 'Hidden0': 32, 'Hidden1': 256, 'optimizer': 'Adam', 'lr': 0.014841171742650953, 'batch': 32}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |    2304    |
|    sptH.0.gcn.bias     |     32     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.sAtt.Vs     |    729     |
|     sptH.2.sAtt.bs     |    729     |
|     sptH.2.sAtt.W1     |     32     |
|     sptH.2.sAtt.W2     |     32     |
|     sptH.2.sAtt.W3     |     1      |
|   sptH.2.gcn.weight    |   24576    |
|    sptH.2.gcn.bias     |    256     |
| sptH.2.timeConv.weight |     3      |
|  sptH.2.timeConv.bias  |     1      |
|     sptH.4.weight      |    3072    |
|      sptH.4.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    1152    |
|    sptD.0.gcn.bias     |     32     |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.sAtt.Vs     |    729     |
|     sptD.2.sAtt.bs     |    729     |
|     sptD.2.sAtt.W1     |     32     |
|     sptD.2.sAtt.W2     |     32     |
|     sptD.2.sAtt.W3     |     1      |
|   sptD.2.gcn.weight    |   24576    |
|    sptD.2.gcn.bias     |    256     |
| sptD.2.timeConv.weight |     3      |
|  sptD.2.timeConv.bias  |     1      |
|     sptD.4.weight      |    3072    |
|      sptD.4.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |    2304    |
|    sptW.0.gcn.bias     |     32     |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.sAtt.Vs     |    729     |
|     sptW.2.sAtt.bs     |    729     |
|     sptW.2.sAtt.W1     |     32     |
|     sptW.2.sAtt.W2     |     32     |
|     sptW.2.sAtt.W3     |     1      |
|   sptW.2.gcn.weight    |   24576    |
|    sptW.2.gcn.bias     |    256     |
| sptW.2.timeConv.weight |     3      |
|  sptW.2.timeConv.bias  |     1      |
|     sptW.4.weight      |    3072    |
|      sptW.4.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 98730
 Trial: 0 Epoch: 0, train_loss: 108917.75390625, validation_loss = 9993.1728515625
 Trial: 0 Epoch: 1, train_loss: 52392.638671875, validation_loss = 10494.4296875
 Trial: 0 Epoch: 2, train_loss: 30282.583984375, validation_loss = 8046.35791015625
 Trial: 0 Epoch: 3, train_loss: 26862.5791015625, validation_loss = 19266.15234375
 Trial: 0 Epoch: 4, train_loss: 24217.4306640625, validation_loss = 7358.97607421875
 Trial: 0 Epoch: 5, train_loss: 17054.94921875, validation_loss = 8305.0869140625
 Trial: 0 Epoch: 6, train_loss: 17753.576171875, validation_loss = 6995.6572265625
 Trial: 0 Epoch: 7, train_loss: 13198.8173828125, validation_loss = 5593.138671875
 Trial: 0 Epoch: 8, train_loss: 15027.681640625, validation_loss = 6171.49462890625
 Trial: 0 Epoch: 9, train_loss: 14308.33740234375, validation_loss = 5153.1416015625
 Trial: 0 Epoch: 10, train_loss: 13115.0673828125, validation_loss = 6533.51708984375
 Trial: 0 Epoch: 11, train_loss: 13174.61083984375, validation_loss = 5290.189453125
 Trial: 0 Epoch: 12, train_loss: 11948.8125, validation_loss = 5492.55126953125
 Trial: 0 Epoch: 13, train_loss: 12883.38916015625, validation_loss = 6346.82470703125
 Trial: 0 Epoch: 14, train_loss: 11550.33349609375, validation_loss = 4627.9462890625
 Trial: 0 Epoch: 15, train_loss: 10715.8955078125, validation_loss = 4749.7236328125
 Trial: 0 Epoch: 16, train_loss: 12264.67529296875, validation_loss = 5322.7900390625
 Trial: 0 Epoch: 17, train_loss: 12521.97412109375, validation_loss = 4634.1025390625
 Trial: 0 Epoch: 18, train_loss: 9577.96240234375, validation_loss = 6759.041015625
 Trial: 0 Epoch: 19, train_loss: 10800.3837890625, validation_loss = 5101.21435546875
 Trial: 0 Epoch: 20, train_loss: 10835.60498046875, validation_loss = 7299.6796875
 Trial: 0 Epoch: 21, train_loss: 10434.8828125, validation_loss = 5313.85546875
 Trial: 0 Epoch: 22, train_loss: 9782.4951171875, validation_loss = 4962.29736328125
 Trial: 0 Epoch: 23, train_loss: 9886.89501953125, validation_loss = 7381.07373046875
 Trial: 0 Epoch: 24, train_loss: 11827.171875, validation_loss = 4871.12939453125
 Trial: 0 Epoch: 25, train_loss: 9874.900634765625, validation_loss = 5678.9482421875
 Trial: 0 Epoch: 26, train_loss: 10029.33740234375, validation_loss = 4481.36962890625
 Trial: 0 Epoch: 27, train_loss: 8355.80322265625, validation_loss = 4519.76513671875
 Trial: 0 Epoch: 28, train_loss: 9145.10595703125, validation_loss = 5134.9658203125
 Trial: 0 Epoch: 29, train_loss: 9930.12744140625, validation_loss = 4724.4384765625
 Trial: 0 Epoch: 30, train_loss: 10040.17138671875, validation_loss = 5723.03857421875
 Trial: 0 Epoch: 31, train_loss: 10731.94677734375, validation_loss = 4350.30322265625
 Trial: 0 Epoch: 32, train_loss: 10280.685546875, validation_loss = 3821.423095703125
 Trial: 0 Epoch: 33, train_loss: 9929.71240234375, validation_loss = 5181.97265625
 Trial: 0 Epoch: 34, train_loss: 9072.12548828125, validation_loss = 4120.59716796875
